WALLET,TX_PER_MONTH,TOKEN_DIVERSITY,PROTOCOL_DIVERSITY,TOTAL_TRANSFER_USD,INTERACTION_DIVERSITY,ACTIVE_DURATION_DAYS,AVG_TRANSFER_USD,USD_TRANSFER_STDDEV,DEX_EVENTS,GAMES_EVENTS,CEX_EVENTS,DAPP_EVENTS,CHADMIN_EVENTS,DEFI_EVENTS,BRIDGE_EVENTS,NFT_EVENTS,TOKEN_EVENTS,FLOTSAM_EVENTS,BRIDGE_OUTFLOW_COUNT,BRIDGE_INFLOW_COUNT,BRIDGE_TOTAL_VOLUME_USD
0x02a3945302ab1ff88c793bbb08984d16386154a9,10.500000,9,27,3817.73,11,158,65.822931034,206.499537363,0,0,0,0,0,0,6,1,4,0,1,0,3
0x799518ca0b5980c307ffa10e5eed3a846159349f,5.000000,1,2,8621.34,2,177,391.879090909,478.475516168,0,0,0,0,0,0,0,0,22,0,0,0,0
0x39839026fde6411b997b3a3137ead81da2302bdf,8.666667,3,2,12.65,2,136,0.1216346154,0.04826032327,26,0,0,0,0,0,0,0,0,0,0,0,0
0x01a092584997600c77db7a216c65a433fe4bd590,1.833333,4,8,1025.11,7,145,93.191818182,67.437804857,0,0,1,0,0,0,1,0,0,0,1,0,130
0x209f945d541b11a664bb2d651110bb8986bf869e,5.500000,3,32,54.18,3,179,10.836,0.01356465997,0,0,24,0,0,0,0,0,2,0,0,0,0
0xe528bfcb83c1c026b55c32b1a68836da6c9bd88f,11.333333,3,7,458.61,5,147,6.197432432,12.38804361,24,0,0,0,0,29,0,0,0,0,0,0,0
0x36a22e305e58b04c27ee2703d0cd2ffeaebb9996,1.666667,1,1,119.01,1,174,11.901,7.595442647,0,0,0,0,0,0,10,0,0,0,10,0,119.01
0xaf6e00b57bd1f21132bdaad090dd3c3164173dcb,12.333333,8,11,105.08,13,171,1.04039604,1.900729365,0,0,1,1,0,0,1,0,5,0,0,0,0
0x39f831495267c93966bfbc3ae47e8f8c0df2ebb9,4.333333,1,10,1751.38,6,60,39.804090909,48.083135454,0,0,0,0,0,0,15,0,0,0,6,0,679.56
0x7fe54e67cb360e3bab117c16988414e60411d1a1,6.833333,4,12,2296.4,9,18,57.41,62.76499773,0,0,0,0,0,0,4,0,9,0,1,0,225.98
