WALLET,TX_PER_MONTH,TOKEN_DIVERSITY,PROTOCOL_DIVERSITY,TOTAL_TRANSFER_USD,INTERACTION_DIVERSITY,ACTIVE_DURATION_DAYS,AVG_TRANSFER_USD,USD_TRANSFER_STDDEV,DEX_EVENTS,GAMES_EVENTS,CEX_EVENTS,DAPP_EVENTS,CHADMIN_EVENTS,DEFI_EVENTS,BRIDGE_EVENTS,NFT_EVENTS,TOKEN_EVENTS,FLOTSAM_EVENTS,BRIDGE_OUTFLOW_COUNT,BRIDGE_INFLOW_COUNT,BRIDGE_TOTAL_VOLUME_USD
0x2f38eb8e53ed6d1161c2fc5d61dbf0b172ebabc6,6.5,3,6,318.95,6,56,7.41744186,23.418074523,0,0,0,0,0,0,0,0,1,0,0,0,0.0
0x74169ffcaa79293284c63645ed0dad3961127c24,1.0,2,6,817.59,5,78,272.53,0.2328089346,1,0,0,0,0,0,1,0,0,0,0,0,0.0
0x26032e323f7a6649769dc0c4253d700487cb7e68,4.833333,2,6,7.21,8,43,0.8011111111,0.7078676029,0,0,0,0,0,6,0,0,4,0,0,0,0.0
0x46d007c84c086ba6f14703fa37c589583d810297,1.166667,3,6,517.12,5,68,34.474666667,53.358495214,1,0,0,0,0,2,0,0,1,0,0,0,0.0
0x18aea83aedbf9b890314473957f62230beacd7e3,3.666667,6,6,276.03,6,47,19.716428571,10.207989593,0,0,0,0,0,0,2,0,1,0,0,0,0.0
0x9d720b8bb3771f984de75ea40e90c014f22da7ca,2.333333,1,6,126.8,7,35,25.36,9.631946844,0,0,0,0,0,0,0,0,4,0,0,0,0.0
0xb4a62ce386cabd0ece4bac3786586933ab4c11e6,1.333333,3,6,93.29,5,35,6.219333333,9.628461606,1,0,0,0,0,3,0,0,1,0,0,0,0.0
0x425effba7df134d7c35df691429b5fce5a041a8c,1.166667,1,6,1000.0,3,90,1000.0,0.0,0,0,0,0,0,0,1,0,0,0,1,0,1000.0
0xd6cc029aebe54c3331729d6ef880ff8c055880df,2.666667,2,6,42.21,6,69,1.623461538,1.233967779,0,0,0,0,0,0,2,0,0,0,0,0,0.0
0xbfa59f7d0ae3adda511ad42a624a6bed6757c225,2.166667,2,6,29.98,5,70,14.99,0.0,0,0,0,0,0,2,0,0,0,0,0,0,0.0
0xa81508c21df085a27e505ad9eb9cdc323d473cd1,1.5,2,6,5.28,7,29,1.76,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0.0
0x77bfea89f40e1704d97ef2de19caa8a896ba7e02,12.166667,2,6,129.98,5,72,129.98,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
0x8d2321043fd0bccaf923ccd07608bf082f26ad45,1.833333,3,6,687.15,5,83,45.81,70.903251265,1,0,0,0,0,5,0,0,1,0,0,0,0.0
0xbc31938d1d07080d79bf67b9f046e723ed7526aa,2.833333,3,6,14.42,6,32,0.721,0.3224577492,0,0,0,0,0,6,0,0,2,0,0,0,0.0
0xbbfc54e71aa853110cebf32499daa07adad653b1,2.833333,4,6,45.83,3,43,0.8813461538,0.5404628673,1,0,0,0,0,0,0,0,0,0,0,0,0.0
0xbf6c95ab075a408a71ceb33f4d02310e288887c1,1.666667,2,6,600.1,7,94,150.025,44.775,0,0,0,0,0,2,0,0,0,0,0,0,0.0
0xa083fed4c80ac48106e9085417adaab48aaf6e0e,31.166667,4,6,120.15,6,71,7.509375,15.778550895,0,0,0,0,0,0,0,0,0,0,0,0,0.0
0x045be2c82339c075130db55a0af714e0e527408d,3.0,2,6,78.99,6,30,0.7180909091,2.69335124,0,0,0,0,0,0,5,0,0,0,0,0,0.0
0x1e3b448c74dcfc81fcee2f34a13a3aaeaea74079,1.166667,4,6,57.89,4,25,3.618125,11.167588268,0,0,0,2,0,0,1,0,0,0,0,0,0.0
0xd49e60e0aca8002e331cd90a51ca5277abc3c8f5,2.166667,1,6,7.45,7,57,7.45,0.0,0,0,0,0,0,0,1,0,0,0,1,0,7.45
0x21741e9d67bfa393741a05d07366372e6a08a999,1.666667,4,6,0.28,6,29,0.02545454545,0.02016461183,4,0,0,0,0,0,2,0,0,0,0,0,0.0
0x7c6bc329c3793a52ecf58f2034a1aa09c58c9820,1.333333,4,6,0.28,6,29,0.02545454545,0.02016461183,3,0,0,0,0,0,1,0,0,0,0,0,0.0
0xb9f65497b56aaee66260def0b1e1dca39a5872f5,2.333333,5,6,542.51,6,83,18.083666667,26.665794254,0,0,1,0,0,0,2,0,0,0,0,0,0.0
0x531ac4a55bfbc1d21f653728f31567bff5318215,1.333333,4,6,0.28,6,29,0.02545454545,0.02016461183,3,0,0,0,0,0,1,0,0,0,0,0,0.0
0x37a50fe3ad6cc9c947daa876f146a361fa5e9519,1.666667,4,6,0.28,6,29,0.02545454545,0.02016461183,4,0,0,0,0,0,2,0,0,0,0,0,0.0
0x8aa3eb88204c01e5280b6fb4a212887eab01ee5b,1.333333,4,6,0.28,6,29,0.02545454545,0.02016461183,3,0,0,0,0,0,1,0,0,0,0,0,0.0
0xf0abcfeaa30a95d32569fcf2b3a48bc7cb639871,1.333333,5,6,19.03,3,26,1.119411765,0.2719963362,0,0,0,0,0,1,1,1,1,0,0,0,0.0
0xc30a6686551b6761cfc6632ffeaf18559a1ec9f9,2.333333,3,6,117.35,5,29,16.764285714,6.823578569,0,0,1,0,0,0,1,0,0,0,0,0,0.0
0x12df18303aa812f27efc47144c92dab368fffaea,1.666667,3,6,51.97,4,35,4.330833333,2.524035982,0,0,0,0,0,0,0,0,3,0,0,0,0.0
0xb554095bead92d8bc39f420d5838e5f845071222,3.833333,2,6,435.5,7,62,17.42,21.39317106,2,0,0,0,0,0,5,0,0,0,4,0,147.97
0x28d916baaaaeff493a954ccdc22dcef2a57b0144,1.166667,3,6,16.53,5,34,1.502727273,3.04058634,0,1,0,0,0,0,2,0,0,0,0,0,0.0
0xcb3fd9a8d5d2c1a3d6f9ad3d57b22436332f6f59,2.833333,5,6,371.29,6,80,23.205625,12.537665736,0,0,0,0,0,0,2,0,0,0,1,0,32.73
0xabb38cffafbf83ad083b4821bcc05fbf132f14ef,1.166667,3,6,74.46,5,46,4.964,7.683225711,1,0,0,0,0,2,0,0,1,0,0,0,0.0
0x8af5880c3a13d595dba7b6a07dbdea440c7f9688,6.166667,8,6,110.51,8,31,3.810689655,9.880375161,0,0,0,0,0,2,2,0,3,0,1,0,10.16
0x0731b3cb4e79d911a68f1175e23497169256bc44,2.166667,2,6,49.37,3,64,4.937,6.762376875,0,0,5,0,0,0,0,0,0,0,0,0,0.0
0x3e61077325faa3dfed8c323d6eaa8f76bd83348f,3.166667,4,6,48.84,5,43,4.44,3.10201987,0,0,0,0,0,0,0,0,5,0,0,0,0.0
0x9cd012ac760f87f7341cb8490a73998556f41f00,1.5,2,6,469.0,6,73,117.25,11.65,0,0,0,0,0,1,0,0,0,0,0,0,0.0
0x6755dab715ac88e2b96a16c5028adeaddbb21c08,2.166667,1,6,7.45,7,57,7.45,0.0,0,0,0,0,0,0,1,0,0,0,1,0,7.45
0x71e5d5e4bc6caa4bdd3c48334fe7fea5100bf51f,4.333333,2,6,3.0,6,24,0.75,0.0234520788,1,23,0,0,0,0,0,1,0,0,0,0,0.0
0x233289c681f7c2596f1dcc3bd555b45477beb034,1.5,2,6,148.86,6,35,49.62,6.357828776e-07,0,0,0,0,0,2,0,0,0,0,0,0,0.0
0xa08de28bf2986d5f12ae62f467bb0fb6eb94e9be,1.0,3,6,33.42,5,50,11.14,7.170062761,0,0,0,0,0,1,0,0,1,0,0,0,0.0
0xa18746d5b48483d64783db6488d3f7658cc43d3d,1.333333,1,6,4.76,5,46,2.38,0.0,0,0,0,0,0,0,0,0,2,0,0,0,0.0
