WALLET,TX_PER_MONTH,TOKEN_DIVERSITY,PROTOCOL_DIVERSITY,TOTAL_TRANSFER_USD,INTERACTION_DIVERSITY,ACTIVE_DURATION_DAYS,AVG_TRANSFER_USD,USD_TRANSFER_STDDEV,DEX_EVENTS,GAMES_EVENTS,CEX_EVENTS,DAPP_EVENTS,CHADMIN_EVENTS,DEFI_EVENTS,BRIDGE_EVENTS,NFT_EVENTS,TOKEN_EVENTS,FLOTSAM_EVENTS,BRIDGE_OUTFLOW_COUNT,BRIDGE_INFLOW_COUNT,BRIDGE_TOTAL_VOLUME_USD
0x01b0ad2a31d6f6e388e4fe4d0284a62bc03f2276,8896.166667,583,23,1244338.1,208,179,13.259786026,507.571785821,0,0,0,0,0,0,0,0,0,0,0,0,0
0x181ab792e0fc1fd61fbd78e6aea8398f9b90d24c,12.666667,2,13,11913.16,2,54,220.614074074,288.460915265,0,0,0,0,0,0,0,0,0,0,0,0,0
0x4a5096957b2b965c4c8cab5df0f031699674ee49,8.833333,4,14,7987.01,14,102,53.246733333,92.819747313,8,0,0,0,0,5,0,0,4,0,0,0,0
0x041a2f798d02399cce0cce36e63aaeae16bd4693,67.000000,2,12,4.16,11,181,0.03816513761,0.06636243463,0,0,0,0,0,0,4,0,0,0,0,0,0
0x483869a1bf90e0ed13678856f302e3a72d4c4f9c,41.666667,4,19,20386.11,20,77,392.040576923,1351.268495458,14,0,0,0,0,1,0,0,4,0,0,0,0
0xa54e465977c7256f90fd743fc5774e3e023fce26,9.833333,3,12,336.06,9,71,5.334285714,5.243015222,7,0,3,0,0,20,0,1,0,0,0,0,0
0xd234bc993869b5851e96806aa49af240b5af44e4,433.833333,6,17,841752.98,10,177,364.869085392,714.390017748,0,0,0,0,0,0,691,0,1,0,56,0,20965.96
0xb3bb61db5542852919cfa981527afb84fe27dbe5,18.500000,24,18,33.8,21,54,0.1138047138,0.2297150971,0,0,0,0,0,50,3,0,15,0,0,0,0
0x072990ab91ef5f9145ddac0d7a3e68248fb9d8c7,22.166667,4,12,31776.38,12,60,82.536051948,300.697031284,25,0,0,0,0,3,0,0,3,0,0,0,0
0x0d1b995a75ff807c0cfffeec2eb02cd15a331114,40.333333,6,18,12546.94,14,155,31.524974874,175.790612087,1,0,0,0,0,3,3,0,7,0,0,0,0
0x8ad461cbcf5c8b4309923293803a2257e0dbf8eb,4.666667,4,10,306.41,7,98,10.213666667,21.472349271,0,0,0,0,0,0,7,0,0,0,6,0,219.72
0xff072947fe812e998acb50c3afd4dcd3e409b721,20.500000,4,12,47376.94,13,170,113.886875,261.533719663,21,0,0,0,0,7,0,0,10,0,0,0,0
0x36cc660d41d727f758d72681a07ae02dec033da3,26.666667,2,4,474283.09,4,46,6497.028630137,10288.388749627,0,0,0,0,0,0,86,0,2,0,0,0,0
0x394cb1bfce21bb3a68c9cd49b043f1e78c86f0bd,23.833333,1,18,21972.47,1,55,252.557126437,280.763957682,0,0,0,0,0,0,0,0,0,0,0,0,0
0x58f5bf67df437dd5dd56a896e68ac6bced96fea5,32.666667,4,10,161614.55,9,121,542.330704698,1364.09504836,7,0,0,0,0,25,3,0,6,0,1,0,4053.56
0xd04c31459a4696f3901d28c307fd366bff069162,63.500000,8,22,22930.52,18,171,16.98557037,89.815151973,54,0,1,1,0,41,27,0,44,0,16,0,2250.28
0xa46e4954608c5c8256215d03a68ae2e85a3741b5,29.000000,1,2,1585.43,2,135,16.177857143,44.819257779,0,0,76,0,0,0,98,0,0,0,98,0,1585.43
0x5ccb6e26ea25d9d195aaa661898b86e378809074,46.666667,4,13,35385.63,12,92,44.791936709,182.714291317,31,0,0,0,0,5,0,0,14,0,0,0,0
