,count,mean,std,min,25%,50%,75%,max,skewness,kurtosis,missing_count,missing_pct,p5,p95,p99
BEHAVIOURAL_VOLATILITY_SCORE,20174.0,0.578979347280828,0.07028997010263348,0.3079968489182309,0.5537084301252455,0.5911041172704217,0.6259914412123767,0.8197917616808487,-1.1057839347931344,1.0593740482722427,0,0.0,0.4146294315084663,0.6681640834211104,0.6956867422184779
CROSS_DOMAIN_ENGAGEMENT_SCORE,20174.0,0.3842472419034677,0.39959677021598367,0.0,0.0,0.262681534815392,0.8112781244591328,1.0,0.2843685984793403,-1.669013762323805,0,0.0,0.0,0.9774178175281716,1.0
REVENUE_SCORE_PROXY,20174.0,46784.498722914555,3084413.648085349,0.0006666666667,51.01662798237018,299.833958112475,1516.6001084838983,399231793.2895174,114.28876238317532,14227.414558181268,0,0.0,1.9965885995905557,10629.511389404644,74474.8931571167
DEX_EVENTS_SIGNED_DIST,20174.0,12.61802319817587,444.32618425823955,-35777.0,25.0,29.0,29.0,29.0,-74.74242902649985,5761.960187266308,0,0.0,-23.0,29.0,29.0
CEX_EVENTS_SIGNED_DIST,20174.0,1.7068999702587488,4.109430471921412,-273.0,2.0,2.0,2.0,2.0,-40.42344062293588,2071.0587432320117,0,0.0,1.0,2.0,2.0
BRIDGE_EVENTS_SIGNED_DIST,20174.0,9.33711708139189,698.7783652922167,-75211.0,23.0,28.0,29.0,29.0,-95.3272911363898,9548.646649408975,0,0.0,-5.0,29.0,29.0
DEFI_EVENTS_SIGNED_DIST,20174.0,5.731684346188163,274.11924804323746,-38826.0,9.0,12.0,12.0,12.0,-140.93925475551626,19965.60882213515,0,0.0,-6.0,12.0,12.0
