,count,unique,top,freq,mean,std,min,25%,50%,75%,max,missing_count,missing_pct
WALLET,11390,11390,0xecb113be97a619aa4d070491505847000f964448,1,,,,,,,,0,0.0
TX_PER_MONTH,11390.0,,,,52.002165641176475,387.3643927477044,1.166667,7.5,19.0,37.666667,21309.5,0,0.0
TOKEN_DIVERSITY,11390.0,,,,6.026075504828797,13.204728249742057,1.0,3.0,5.0,7.0,1031.0,0,0.0
PROTOCOL_DIVERSITY,11390.0,,,,17.834328358208957,197.08249608304723,1.0,9.0,12.0,17.0,20923.0,0,0.0
TOTAL_TRANSFER_USD,11390.0,,,,2231913.836163301,185996236.97312286,0.01,1002.0224999999999,7550.280000000001,28549.2725,19602977094.29,0,0.0
INTERACTION_DIVERSITY,11390.0,,,,16.06198419666374,579.3190267438913,1.0,7.0,10.0,13.0,61819.0,0,0.0
ACTIVE_DURATION_DAYS,11390.0,,,,114.94433713784021,47.4207989414891,15.0,70.0,121.0,158.0,181.0,0,0.0
AVG_TRANSFER_USD,11390.0,,,,1669.4077112572218,95037.63732012277,3.63834819e-06,10.858048475250001,42.6310918115,150.8179048675,8572492.08837607,0,0.0
USD_TRANSFER_STDDEV,11390.0,,,,12084.713139492796,829129.995122048,0.0,17.48752807575,87.0182412005,299.48910216075,66167196.0706637,0,0.0
DEX_EVENTS,11390.0,,,,26.73511852502195,590.4140933597134,0.0,0.0,1.0,14.0,35806.0,0,0.0
GAMES_EVENTS,11390.0,,,,4.656628621597893,36.23464528917747,0.0,0.0,0.0,0.0,2796.0,0,0.0
CEX_EVENTS,11390.0,,,,0.2948200175592625,3.1408528971733096,0.0,0.0,0.0,0.0,196.0,0,0.0
DAPP_EVENTS,11390.0,,,,6.496224758560141,471.3661593033785,0.0,0.0,0.0,0.0,44990.0,0,0.0
CHADMIN_EVENTS,11390.0,,,,7.136611062335382,724.8772282249254,0.0,0.0,0.0,0.0,77348.0,0,0.0
DEFI_EVENTS,11390.0,,,,10.668393327480246,364.7113317083487,0.0,0.0,2.0,5.0,38838.0,0,0.0
BRIDGE_EVENTS,11390.0,,,,26.196839332748024,928.379896446644,0.0,0.0,1.0,4.0,75240.0,0,0.0
NFT_EVENTS,11390.0,,,,4.4521510096575945,53.624289658040006,0.0,0.0,0.0,0.0,2491.0,0,0.0
TOKEN_EVENTS,11390.0,,,,11.10412642669008,137.24253571744887,0.0,0.0,3.0,7.0,12397.0,0,0.0
FLOTSAM_EVENTS,11390.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
BRIDGE_OUTFLOW_COUNT,11390.0,,,,18.9585601404741,912.3621586941891,0.0,0.0,0.0,1.0,75236.0,0,0.0
BRIDGE_INFLOW_COUNT,11390.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
BRIDGE_TOTAL_VOLUME_USD,11390.0,,,,17385.32621861282,578563.8526718151,0.0,0.0,0.0,41.435,42324383.26,0,0.0
activity_cluster_label,11390.0,,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0,0.0
BEHAVIOURAL_VOLATILITY_SCORE,11390.0,,,,0.5748999001256867,0.05888596281467729,0.3079968489182309,0.5513937917377802,0.5802614805224748,0.6088467129097235,0.7735784062437957,0,0.0
CROSS_DOMAIN_ENGAGEMENT_SCORE,11390.0,,,,0.5722253890476028,0.3618841489825002,0.0,0.24283166541249232,0.7023975353112812,0.8840893345072458,1.0,0,0.0
REVENUE_SCORE_PROXY,11390.0,,,,69539.16118061093,4075994.4842285733,0.0019283245407,98.77081556062195,548.3658248939017,2303.9111135454345,399231793.2895174,0,0.0
DEX_EVENTS_MEDIAN,11390.0,,,,29.0,0.0,29.0,29.0,29.0,29.0,29.0,0,0.0
CEX_EVENTS_MEDIAN,11390.0,,,,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0,0.0
BRIDGE_EVENTS_MEDIAN,11390.0,,,,29.0,0.0,29.0,29.0,29.0,29.0,29.0,0,0.0
DEFI_EVENTS_MEDIAN,11390.0,,,,12.0,0.0,12.0,12.0,12.0,12.0,12.0,0,0.0
DEX_EVENTS_SIGNED_DIST,11390.0,,,,2.264881474978051,590.4140933597134,-35777.0,15.0,28.0,29.0,29.0,0,0.0
CEX_EVENTS_SIGNED_DIST,11390.0,,,,1.7051799824407374,3.1408528971733096,-194.0,2.0,2.0,2.0,2.0,0,0.0
BRIDGE_EVENTS_SIGNED_DIST,11390.0,,,,2.8031606672519755,928.379896446644,-75211.0,25.0,28.0,29.0,29.0,0,0.0
DEFI_EVENTS_SIGNED_DIST,11390.0,,,,1.3316066725197542,364.7113317083487,-38826.0,7.0,10.0,12.0,12.0,0,0.0
