,count,mean,std,min,25%,50%,75%,max,skewness,kurtosis,missing_count,missing_pct,p5,p95,p99
BEHAVIOURAL_VOLATILITY_SCORE,8713.0,0.5845810898927649,0.08225570769445305,0.3217260239383835,0.5650560337860012,0.6122106007020052,0.6386825555888267,0.8197917616808487,-1.2008217536524535,0.4812535045834543,0,0.0,0.3972931391847975,0.6759872883525948,0.6992218528428448
CROSS_DOMAIN_ENGAGEMENT_SCORE,8713.0,0.1409227573683308,0.303255955771689,0.0,0.0,0.0,0.0,1.0,1.9318721668802463,2.0970628494179153,0,0.0,0.0,0.9206198357143052,1.0
REVENUE_SCORE_PROXY,8713.0,17417.741235575893,555738.187632622,0.0006666666667,18.962999999999997,149.86512035690396,691.0853124999999,38188318.833522364,51.319986733074906,3034.987261491103,0,0.0,0.8390743183948576,7527.201785763355,46902.49317948988
DEX_EVENTS_SIGNED_DIST,8713.0,26.020773556754275,33.51768107882764,-2282.0,29.0,29.0,29.0,29.0,-42.07174365892695,2647.5054368693463,0,0.0,24.0,29.0,29.0
CEX_EVENTS_SIGNED_DIST,8713.0,1.7081372661540226,5.117700888242996,-273.0,2.0,2.0,2.0,2.0,-35.65303247455024,1543.4882268162244,0,0.0,2.0,2.0,2.0
BRIDGE_EVENTS_SIGNED_DIST,8713.0,18.35257660966372,60.77302652919897,-3129.0,21.0,28.0,29.0,29.0,-27.707373330874415,1110.2478618794032,0,0.0,-10.399999999999977,29.0,29.0
DEFI_EVENTS_SIGNED_DIST,8713.0,11.433031102949615,6.940958319503632,-385.0,12.0,12.0,12.0,12.0,-40.81491803106011,2134.311627319774,0,0.0,11.0,12.0,12.0
