,count,mean,std,min,25%,50%,75%,max,skewness,kurtosis,missing_count,missing_pct,p5,p95,p99
BEHAVIOURAL_VOLATILITY_SCORE,11390.0,0.5748999001256867,0.05888596281467729,0.3079968489182309,0.5513937917377802,0.5802614805224748,0.6088467129097235,0.7735784062437957,-0.976476827794298,1.7306440959320044,0,0.0,0.42817700603489334,0.6619736513310202,0.6903001028850833
CROSS_DOMAIN_ENGAGEMENT_SCORE,11390.0,0.5722253890476028,0.3618841489825002,0.0,0.24283166541249232,0.7023975353112812,0.8840893345072458,1.0,-0.5688287760231532,-1.2103899626417678,0,0.0,0.0,0.985056822321508,1.0
REVENUE_SCORE_PROXY,11390.0,69539.16118061093,4075994.4842285733,0.0019283245407,98.77081556062195,548.3658248939017,2303.9111135454345,399231793.2895174,87.61216003316699,8261.437194458815,0,0.0,5.5698962675653645,12993.490641939383,101545.69763227746
DEX_EVENTS_SIGNED_DIST,11390.0,2.264881474978051,590.4140933597134,-35777.0,15.0,28.0,29.0,29.0,-56.37307639275658,3269.155170483579,0,0.0,-44.0,29.0,29.0
CEX_EVENTS_SIGNED_DIST,11390.0,1.7051799824407374,3.1408528971733096,-194.0,2.0,2.0,2.0,2.0,-42.40318131606699,2428.084362977995,0,0.0,1.0,2.0,2.0
BRIDGE_EVENTS_SIGNED_DIST,11390.0,2.8031606672519755,928.379896446644,-75211.0,25.0,28.0,29.0,29.0,-71.98031502398648,5426.4301008649,0,0.0,-1.0,29.0,29.0
DEFI_EVENTS_SIGNED_DIST,11390.0,1.3316066725197542,364.7113317083487,-38826.0,7.0,10.0,12.0,12.0,-105.96726832955052,11281.869470974025,0,0.0,-21.0,12.0,12.0
