,count,mean,std,min,25%,50%,75%,max,skewness,kurtosis,missing_count,missing_pct,p5,p95,p99
BEHAVIOURAL_VOLATILITY_SCORE,71.0,0.5459782165661013,0.09932942757690673,0.3288623853300222,0.5666051414750108,0.5720109563623457,0.5959379263479339,0.7125301120714864,-1.375828495662099,0.824746267623869,0,0.0,0.33109948323199556,0.6538936206286774,0.686827815499596
CROSS_DOMAIN_ENGAGEMENT_SCORE,71.0,0.08868580222670809,0.23703885268085714,0.0,0.0,0.0,0.0,1.0,2.8927828621559,7.5403859823777015,0,0.0,0.0,0.6859752582678582,0.9937532418867555
REVENUE_SCORE_PROXY,71.0,262.7042724923326,1008.2765326647819,3.62533332687308,40.97193075335155,49.15855947600001,58.17642617929406,6885.3649882664,5.6811543469740196,33.23709282164334,0,0.0,3.99840541663216,737.0640100134999,5539.909699431116
DEX_EVENTS_SIGNED_DIST,71.0,28.732394366197184,1.403645727371336,18.0,29.0,29.0,29.0,29.0,-6.872422214754044,50.88242689939608,0,0.0,28.0,29.0,29.0
CEX_EVENTS_SIGNED_DIST,71.0,1.8309859154929577,1.424137989832624,-10.0,2.0,2.0,2.0,2.0,-8.426149773176368,71.00000000000004,0,0.0,2.0,2.0,2.0
BRIDGE_EVENTS_SIGNED_DIST,71.0,-48.83098591549296,94.9249306279882,-200.0,-107.5,24.0,29.0,29.0,-0.6370494796716317,-1.351403303611914,0,0.0,-198.5,29.0,29.0
DEFI_EVENTS_SIGNED_DIST,71.0,11.943661971830986,0.3736814511877336,9.0,12.0,12.0,12.0,12.0,-7.4189775412623815,57.435532227657404,0,0.0,12.0,12.0,12.0
