WALLET,TX_PER_MONTH,TOKEN_DIVERSITY,PROTOCOL_DIVERSITY,TOTAL_TRANSFER_USD,INTERACTION_DIVERSITY,ACTIVE_DURATION_DAYS,AVG_TRANSFER_USD,USD_TRANSFER_STDDEV,DEX_EVENTS,GAMES_EVENTS,CEX_EVENTS,DAPP_EVENTS,CHADMIN_EVENTS,DEFI_EVENTS,BRIDGE_EVENTS,NFT_EVENTS,TOKEN_EVENTS,FLOTSAM_EVENTS,BRIDGE_OUTFLOW_COUNT,BRIDGE_INFLOW_COUNT,BRIDGE_TOTAL_VOLUME_USD,cluster_label
0xf54df8715d43124d0e7d279b4b15e04528bd6adf,0.1379024509432052,1.93293114773968,1.1874909295379867,0.04533885157924123,1.238438095406856,0.5187306980136933,-0.6807975758303031,-0.8784974602464759,-0.2641325239847509,-0.1822270115909078,-0.15758758296871364,-0.14244705100696833,-0.029178933637696098,-0.2181086378261803,1.556813261679259,-0.1666346257392231,-0.5013228399157467,0.0,1.6844248973549278,0.0,0.628624634803273,2
0x242c2d6452bed0e1a197f2c07d1587bf3782b307,-0.3295573669389716,-0.7966713375120826,-1.2844858031174944,-0.3331856578984463,-1.031540694240397,-0.4146335161132155,-0.3168565211928917,-0.22016690330551972,-0.2641325239847509,-0.1822270115909078,-0.15758758296871364,-0.14244705100696833,-0.029178933637696098,-0.2181086378261803,-0.8474579046150739,-0.1666346257392231,2.115900681591045,0.0,-0.7795182110667255,0.0,-0.8100367016410712,0
0xf1b78f3e8cc0e7d2f8c1de60ab596db01d8cfaa4,-0.4087878630779953,1.147936708877111,-0.21986337225991984,-0.17307805526655984,-0.05391404221551151,0.4578591188315036,-0.306496763685,-0.5048004928877295,1.8495242243455012,-0.1822270115909078,5.613043233131976,-0.14244705100696833,-0.029178933637696098,-0.2181086378261803,-0.8474579046150739,-0.1666346257392231,-0.5013228399157467,0.0,-0.7795182110667255,0.0,-0.8100367016410712,7
0xba8995535bfc63575f6b2e4a43afd9297459151f,0.7321310531401622,0.17563268568251428,0.4029008272183634,-0.8931835091196446,1.9013392618342595,-1.408869309422314,-1.417221793916774,-1.056610289314785,0.646169889334722,-0.1822270115909078,-0.15758758296871364,-0.14244705100696833,-0.029178933637696098,-0.2181086378261803,0.17554049998744803,-0.1666346257392231,-0.5013228399157467,0.0,-0.7795182110667255,0.0,-0.8100367016410712,5
0xee6cff504c7bd52c2d5aff4f44beb6c9f3b4976e,-0.36917263877762757,-0.7966713375120826,-0.21986337225991984,0.4686069465254309,-0.05391404221551151,-1.3885787830282508,0.7036517568730913,0.8580111173585945,-0.2641325239847509,-0.1822270115909078,-0.15758758296871364,-0.14244705100696833,-0.029178933637696098,-0.2181086378261803,1.10000110089517,-0.1666346257392231,-0.5013228399157467,0.0,1.216275051702548,0.0,1.4755222386270785,7
0x06d76c61f16a45918f2718fc7dedd2ee1925c283,-0.282019078763215,-0.7966713375120826,-0.21986337225991984,0.5514710075577142,-0.05391404221551151,-0.4957956216894684,0.5721896320101456,0.6722325396961509,-0.2641325239847509,-0.1822270115909078,-0.15758758296871364,-0.14244705100696833,-0.029178933637696098,-0.2181086378261803,-0.8474579046150739,-0.1666346257392231,2.3108501957141008,0.0,-0.7795182110667255,0.0,-0.8100367016410712,0
0x6f8b31985b74076e8ec1ea16abeb6a2b8cefbe97,-0.41671092695338413,-0.7966713375120826,-1.2844858031174944,0.01895426949357278,-1.031540694240397,-0.9218966759647963,0.3849808528383475,0.15223291652671414,-0.2641325239847509,-0.1822270115909078,-0.15758758296871364,-0.14244705100696833,-0.029178933637696098,-0.2181086378261803,0.7739562049774925,-0.1666346257392231,-0.5013228399157467,0.0,0.8821380019409699,0.0,1.0862765685986593,3
0x6f0ddb98b4ad704944754b8ee3bc941e4a5573f8,2.166202762288248,2.8012810880255814,1.4675232580759379,-0.14824132268050144,1.4955875409495027,-0.637829306447911,-0.747749109835831,-0.8700413034692739,-0.2641325239847509,-0.1822270115909078,-0.15758758296871364,-0.14244705100696833,-0.029178933637696098,-0.2181086378261803,3.380996816545168,-0.1666346257392231,1.315382665622055,0.0,0.26887013392670084,0.0,-0.12314048249561264,7
0x0a6372d3f088a6c4b09a9db63c966556ba181490,-0.36124957490223875,1.147936708877111,1.4675232580759379,1.0738965984976574,1.4955875409495027,0.8433791203187051,1.3430838576767665,1.6515160856789595,-0.2641325239847509,-0.1822270115909078,-0.15758758296871364,-0.14244705100696833,-0.029178933637696098,-0.2181086378261803,0.3402064637206986,-0.1666346257392231,0.458480527127949,0.0,0.26887013392670084,0.0,1.2724268537649546,-1
0xf6aba835a317c533c575eccfcaca6835cdc9d7c6,-0.385018718990117,-0.7966713375120826,-1.2844858031174944,0.35379752643251866,-1.031540694240397,-0.9827682551469861,0.6063330783070063,0.4587042334503398,-0.2641325239847509,-0.1822270115909078,-0.15758758296871364,-0.14244705100696833,-0.029178933637696098,-0.2181086378261803,-0.8474579046150739,-0.1666346257392231,1.7395468963701448,0.0,-0.7795182110667255,0.0,-0.8100367016410712,0
0xf743b44d9f33032894aab85674f6dd713573a516,0.09828722664283747,-0.7966713375120826,-1.2844858031174944,0.33093520796973874,-1.031540694240397,-1.1045114135113654,-0.07462884803499022,0.2716068286211234,-0.2641325239847509,-0.1822270115909078,-0.15758758296871364,-0.14244705100696833,-0.029178933637696098,-0.2181086378261803,2.328672538631014,-0.1666346257392231,-0.5013228399157467,0.0,2.475441057586073,0.0,1.356309747157123,7
0x6ff7838e9db4a4c0f9ded67f3228e6e096b9ba42,-0.36917263877762757,-0.7966713375120826,-1.2844858031174944,0.9013374968598845,-1.031540694240397,-0.718991412024164,1.153117699561403,1.2083736051636524,-0.2641325239847509,-0.1822270115909078,-0.15758758296871364,-0.14244705100696833,-0.029178933637696098,-0.2181086378261803,-0.8474579046150739,-0.1666346257392231,1.8645670449428726,0.0,-0.7795182110667255,0.0,-0.8100367016410712,0
0x00f634581b9f4443360ee5468c877c4586a5274c,-0.4325570071658736,-0.7966713375120826,-0.21986337225991984,-0.7380905768163438,-0.05391404221551151,-1.5914840469688831,-0.27772194829902747,-0.6758769228977739,-0.2641325239847509,-0.1822270115909078,-0.15758758296871364,-0.14244705100696833,-0.029178933637696098,-0.2181086378261803,0.47474835248247016,-0.1666346257392231,-0.5013228399157467,0.0,0.5755040679338354,0.0,0.4337935256452414,-1
