DEX_EVENTS,CEX_EVENTS,BRIDGE_EVENTS,DEFI_EVENTS
-2.584962500721156,1.0,0.0,1.0
-1.0,1.0,1.0,1.0
0.0,1.0,-1.8073549220576042,1.0
0.0,-0.5849625007211564,1.0,1.0
0.0,0.0,-2.4594316186372973,-1.3502198590705463
0.0,1.0,-2.3219280948873626,0.20751874963942182
0.0,1.0,-0.5849625007211564,1.0
-3.0,-0.5849625007211564,1.0,1.0
0.0,1.0,-1.3219280948873622,1.0
0.0,1.0,-2.584962500721156,1.0
0.0,1.0,-2.4594316186372973,1.0
0.0,1.0,-3.5849625007211565,1.0
0.0,1.0,-1.0,1.0
0.0,1.0,-2.3219280948873626,1.0
0.0,1.0,-0.5849625007211564,1.0
0.0,1.0,-2.700439718141092,0.5
0.0,1.0,-1.8073549220576042,1.0
0.0,0.0,0.0,1.0
0.0,-3.6438561897747244,1.0,1.0
-4.643856189774724,1.0,1.0,-1.4534452978042596
0.0,0.0,0.0,1.0
0.0,1.0,-3.0,1.0
0.0,1.0,-1.3219280948873622,1.0
0.0,1.0,-1.3219280948873622,1.0
0.0,1.0,0.0,1.0
-3.8073549220576037,1.0,1.0,-0.16096404744368115
-3.700439718141092,1.0,1.0,0.0
-2.321928094887362,1.0,1.0,0.0
-2.0,1.0,0.0,0.20751874963942182
-1.0,1.0,1.0,-0.2924812503605781
-1.0,1.0,1.0,-0.5849625007211564
-3.700439718141092,1.0,1.0,-0.2924812503605781
-1.0,1.0,1.0,-0.16096404744368115
-3.8073549220576037,1.0,1.0,0.20751874963942182
-2.584962500721156,1.0,1.0,0.0
-1.0,1.0,0.0,0.20751874963942182
-3.1699250014423126,1.0,1.0,0.20751874963942182
-1.0,1.0,1.0,0.5
-1.0,1.0,1.0,0.0
0.0,1.0,-0.5849625007211564,1.0
0.0,1.0,1.0,0.20751874963942182
0.0,1.0,-1.0,1.0
-3.5849625007211565,1.0,1.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,0.5
0.0,1.0,-2.4594316186372973,1.0
0.0,1.0,1.0,1.0
-2.0,1.0,1.0,1.0
0.0,1.0,-2.4594316186372973,1.0
0.0,-0.5849625007211564,-2.8073549220576037,1.0
-3.4594316186372978,1.0,-1.584962500721156,0.0
0.0,1.0,-3.247927513443585,1.0
0.0,1.0,-1.9999999999999998,1.0
0.0,1.0,1.0,1.0
-4.08746284125034,1.0,-3.3923174227787602,1.0
-4.0,1.0,-1.0,1.0
-3.0,1.0,-1.3219280948873622,0.0
0.0,1.0,-0.5849625007211564,1.0
0.0,-1.3219280948873622,-2.700439718141092,1.0
0.0,1.0,-1.0,1.0
-2.0,1.0,-1.0,0.20751874963942182
-1.0,1.0,0.0,1.0
-3.5849625007211565,1.0,1.0,0.0
0.0,1.0,1.0,1.0
0.0,1.0,-0.5849625007211564,0.20751874963942182
-3.700439718141092,1.0,-1.0,0.20751874963942182
-3.3219280948873626,1.0,-0.5849625007211564,-0.16096404744368115
-3.0,1.0,-1.3219280948873622,1.0
0.0,1.0,0.0,0.5
-4.0,1.0,1.0,0.5
-3.5849625007211565,-0.5849625007211564,0.0,-0.2924812503605781
-4.906890595608519,1.0,1.0,0.5
-3.0,1.0,1.0,-0.2924812503605781
-1.0,1.0,1.0,-0.2924812503605781
-1.5849625007211563,1.0,0.0,1.0
-3.1699250014423126,1.0,1.0,-0.16096404744368115
-4.08746284125034,1.0,1.0,0.0
-3.0,1.0,1.0,0.5
-3.1699250014423126,1.0,0.0,-0.903677461028802
-3.700439718141092,1.0,0.0,-0.40367746102880203
-1.0,1.0,1.0,-0.16096404744368115
-2.321928094887362,1.0,0.0,-0.16096404744368115
-1.0,1.0,1.0,0.5
-3.1699250014423126,1.0,1.0,0.0
-1.5849625007211563,1.0,0.0,0.20751874963942182
0.0,1.0,-0.5849625007211564,1.0
0.0,-2.8073549220576037,0.0,1.0
0.0,-0.5849625007211564,0.0,1.0
0.0,1.0,-0.5849625007211564,1.0
0.0,1.0,0.0,0.20751874963942182
0.0,1.0,1.0,-0.7297158093186488
0.0,1.0,1.0,1.0
0.0,1.0,-1.8073549220576042,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,-1.9999999999999998,1.0
-4.807354922057604,1.0,-1.584962500721156,-0.2924812503605781
-1.0,1.0,-2.3219280948873626,1.0
-1.0,1.0,-4.08746284125034,1.0
0.0,1.0,-1.8073549220576042,1.0
0.0,1.0,-1.584962500721156,1.0
0.0,-1.3219280948873622,0.0,1.0
-6.129283016944967,0.0,1.0,1.0
0.0,0.0,-2.700439718141092,1.0
0.0,1.0,-0.5849625007211564,1.0
0.0,1.0,0.0,0.20751874963942182
0.0,0.0,-2.8073549220576037,1.0
0.0,1.0,-1.0,1.0
-2.807354922057604,1.0,1.0,1.0
-1.0,1.0,-2.1699250014423126,1.0
0.0,1.0,-1.8073549220576042,1.0
-2.584962500721156,1.0,-1.3219280948873622,0.20751874963942182
0.0,1.0,-1.0,1.0
0.0,1.0,-0.5849625007211564,1.0
0.0,-1.8073549220576042,1.0,1.0
0.0,1.0,-0.5849625007211564,1.0
-2.584962500721156,1.0,1.0,-0.16096404744368115
-3.1699250014423126,1.0,-1.0,0.20751874963942182
-3.4594316186372978,1.0,1.0,-0.16096404744368115
-2.0,1.0,1.0,-0.2924812503605781
-3.4594316186372978,1.0,1.0,0.0
-1.0,1.0,1.0,0.20751874963942182
-1.0,1.0,1.0,0.5
-3.5849625007211565,1.0,1.0,-0.49999999999999994
-3.3219280948873626,1.0,-0.5849625007211564,-0.40367746102880203
-3.5849625007211565,1.0,-0.5849625007211564,-0.49999999999999994
-3.700439718141092,1.0,1.0,0.5
-2.321928094887362,1.0,1.0,-0.40367746102880203
-4.523561956057013,1.0,0.0,0.20751874963942182
-1.5849625007211563,1.0,1.0,-0.5849625007211564
-1.5849625007211563,1.0,0.0,0.20751874963942182
-1.5849625007211563,1.0,1.0,0.0
-2.807354922057604,1.0,1.0,0.0
-1.0,1.0,1.0,0.5
-1.0,1.0,1.0,0.5
-1.0,1.0,1.0,0.0
-2.0,1.0,0.0,-0.2924812503605781
-1.0,1.0,1.0,0.20751874963942182
-3.5849625007211565,1.0,1.0,0.20751874963942182
-1.5849625007211563,1.0,1.0,0.20751874963942182
0.0,-1.0,0.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,1.0,-0.6609640474436814
0.0,1.0,1.0,1.0
0.0,1.0,1.0,1.0
0.0,1.0,1.0,1.0
0.0,1.0,1.0,0.0
0.0,1.0,1.0,1.0
0.0,-1.8073549220576042,-0.5849625007211564,1.0
0.0,1.0,0.0,1.0
-4.700439718141093,-1.584962500721156,1.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,-2.9068905956085187,0.5
