WALLET,TX_PER_MONTH,TOKEN_DIVERSITY,PROTOCOL_DIVERSITY,TOTAL_TRANSFER_USD,INTERACTION_DIVERSITY,ACTIVE_DURATION_DAYS,AVG_TRANSFER_USD,USD_TRANSFER_STDDEV
0x6099cfe0b27189c6459623cede9b0b31b15d346d,1447.333333,1,1,6687.52,1,182,0.7700967296,1.963271158
0xf68e6c503159bea314668433e8a4756ffba4a88f,429.333333,152,2,683826.6,4,182,219.809257473,866.290551177
0xc63a39f9ca494bf3865bec5a098acffb133a36f0,346,8,28,276413.95,16,180,33.415612911,94.528807338
0x09774eef8f52d14b688c6187c9e3eba435d7343d,464.833333,147,2,638926.91,4,182,202.640948303,1105.19152213
0x80bdbdf79a15f30b7304c329b0597d2a17fca9e8,273.666667,6,34,48610.39,17,180,10.622899913,69.195779763
0xfef2de102f4579b844074b30c6f427b0c17d791e,94.5,11,26,402337.01,21,179,235.698306971,6345.78038098
0xfeb20f50c8f942419df21f28ff1d164c6ed90b4d,120.833333,5,15,59718.75,16,181,25.998585111,34.766476029
0xd0d053b7708f4c9c84be0b8948cad2fd4a99777a,98.166667,7,45,187.91,27,181,2.159885057,4.630929872
0xcab7343b8e727ab3963f2bb34e65161cc07a50e0,167.666667,4,21,95.97,18,182,5.331666667,5.486885627
0x6d79d4ae4075c5db69c8802c68968d235c161f6c,1165.833333,2,1,289.45,1,182,48.241666667,40.033494483
0xc8965db933607bb6624c2626f8904273d4f4f270,0.166667,0,1,0,1,0,0,0
0xf4648f2f024bee5df329f08e4a4de30575053d38,8650.5,4,5,2644009.72,5,182,25.519358737,5.115736552
0x0e09ef6b3ce6dbb2148738d122b63354059c1ec7,1108.333333,45,1,841467.92,4,175,945.469573034,4273.014643035
0x424a206e68a0859d38de9e1bfbbf3c525928af8e,829,8,70,1940117.49,17,182,100.821986696,217.930152075
0xa06d63fac2dae97d1146b7fe49845328577439ad,3829,1,2,0,2,182,0,0
0x57383a6512778c4b95fb919eab808dfe39147502,2271.666667,150,5,1025563.58,4,182,823.084735152,3860.302382225
0x48652cb4040ff082674f8b4f8f4ea3f4b3f73edd,368.5,5,26,562829.97,13,181,75.730620291,205.876559905
0xe5f83d95a716ca683174c87cd549ef5e07dc9536,244.666667,13,2,52436.14,2,182,364.139861111,728.402143747
0x1792c96676a1efb35878ddd6f180b1a1bb4f86d2,86.833333,0,1,0,1,182,0,0
0xe145f28cb4f4025cbe5760f2a0e0a0b9a0f30190,953.666667,32,6,75897.62,4272,182,441.265232558,716.175590841
0x497c4e61c370472c074466a29b99c8c23e536b40,3436.333333,0,5,0,2,182,0,0
0xd351c4ad528f32156817a0ef714a115f6bfbb660,6.5,0,4,0,3,148,0,0
0x30414541edbb9418302794ee213b14553a09880a,106.333333,1,1,0,1,148,0,0
0x6616bddc17511a9185ae6544ce301d551a0018c5,1696.5,58,1,659228.11,4,182,621.327153629,1575.701725767
0x28d0d41d7c260b5110f9ad4d4c67712ea0b0edb3,1236.166667,29,22,796310.71,1,182,1818.060981735,6163.017390966
0x56008d65cbf2868241ba72f0098b4faeb849c115,228.833333,3,28,90498.04,38,181,55.181731707,367.195296112
0xe7851ac6d3b3b4e4594212dc8df8e3f9766fe4b6,141.5,3,9,181906.98,12,181,65.552064865,192.043337098
0x5571b8f1ce8cbb1d721f8a4a8cfc842d5e2c0a43,350.833333,7,19,1755152.94,17,177,211.31145437,1404.621139279
0x25d058a7b98d214e16e6ce5a91f62a74be1ec8b4,8818.166667,935,3,972930.66,11,182,31.091993481,188.290394905
0x72a73dc55a7038cb4707f2a23ac2ae705a8fa888,452.166667,8,638,937502.99,2,182,544.110847359,1671.333635609
0xb1ee68b6a28865c5d669fc6cb31b84186bc13fca,512.666667,7,69,986100.79,15,182,127.255231643,7268.456149535
0x953e30d12aa4d8d23e1823ade24661f2a35e2d4c,264.333333,4,11,29033.51,13,182,5.88795579,17.800085183
0x95ee365c88772c310a6e722bda07dc2ad945ceb6,2363.333333,1,1,2533.14,1,182,0.2990014164,0.01780226609
0x4c6509d86a7ae79a516cf804a97efcbd31256938,204.333333,0,934,0,1,182,0,0
0x07ff0de302b04ad04c4165b71a7bd6ea7b8f2297,1103.166667,6,26,13069.17,19,182,3.081624617,8.425781349
0x3b05477966aa5dce274515791700b3691b736ec4,770,2,5,144.06,3,182,0.02196036585,0.02130995736
0xffff65bb49845d550019ce2caba7b3638fc80130,3000.833333,141,13,694425.98,6,182,208.223682159,527.737380889
0x0da6e21fe89a9ef739da15c0465a114f32388958,162.333333,7,47,8616.5,33,182,34.466,117.184369814
0x23ff859fa9c48a45820325e5e65d667ac524f8f9,244.833333,5,17,218694.15,11,182,52.50759904,96.441391132
0xf5812b32d26819b628e5ca71ae4c17e8b1f59ac4,7249,1,1,1201968.74,1,182,27.63527705,73.543830903
0x293e0f7a9b0594efa72015c52ba7339e9082b18d,728.5,6,13,731980.73,11,182,57.096780811,601.78262064
0x55bb94f60e5fd8ccac68b5020db2728309549c9b,986.666667,26,6,70445.88,4345,182,628.981071429,1025.852505112
0xd2094464925e2770eb9abcd16e9c390bf14b6190,325.666667,8,10,5086068652.91,9,182,435562.957344352,451061.489188754
0xaaa31ddd14d4bcb057f16be8ccacfe6c728b8a7c,48,5,16,2352.54,17,179,7.022507463,23.744962872
0x10c9c74afc54c9affc89f42027ceaa66aef2a2ca,106.333333,2,1,7594.76,1,182,31.910756303,143.210486721
0x36b1cd3e432f92b6eca478fcb0e73f0f4d595f45,3730.666667,28,2,11954471.65,5,182,443.563194316,1228.202582701
0xbd3672b43a7707e60383d27d8a0497100af7f964,47.833333,6,24,11334.44,22,176,26.359162791,59.617507568
0x5fe977e9b9ce9603e8fc910df3a05ccdb40431ba,425.333333,12,90,80173.74,17,179,9.530877318,68.922126756
0x5ce4b8cad590f75a2238d21e65571e529eeefb67,571.5,3,4,170.21,2,182,0.04966734753,0.09536167508
0x8cab0e1eacc6ef1fa59aa9425d4954f5476d3a6e,2266.333333,126,5,815465.38,4,182,627.281061538,1831.686860492
0xd85b33cd054575089e30db0e8d779ada771a8a02,283.333333,6,16,717957.13,11,182,119.301616816,667.861431017
0x285e3f3b4836bc688a9c2789665adb6a91333a1c,527.833333,10,10,91087.64,5,182,36.318835726,52.723178641
0x768b173c3c0c7fc16b6bfc8eb1a187efc5ecf857,367.5,6,51,552389.38,11,182,94.700733756,415.40865945
0x89b629b3b48eabb6761f18b3a5a375677ca66f7e,318,6,60,140569.51,11,182,28.0074736,61.16139622
0xb8eba11981474fab2530e550c511838953ed508a,1425.333333,0,2,0,8550,160,0,0
0xba2faeea1e1ccafe215e5d15bc8f7e0acdbe11c6,1312,47,1,1554526.09,4,182,1391.697484333,3589.272125981
0x5a2b44a71e81b8a7a7aabc57472258660895febb,151,5,16,150582.04,12,177,40.327273701,84.916301016
0x0f091189209d242926e90264f08ff6ce56acff27,275,9,27,70478.93,15,182,11.645560145,55.457526479
0x148efc09d859d323e3df8f5f83ef30f3b8af75d9,396.833333,6,24,81263.11,12,182,9.848880136,42.97718569
0xcbeccf82186ce79f8d1828bcd5bcf4d79cccd448,28.166667,1,1,0,1,177,0,0
0x7aef3bbfdd300d7a9cb3a680865e3f3e24395bdf,124.5,9,17,17165.42,28,181,20.756251511,43.470058461
0x3255a818cd72aeea6a2093ec215bc83a7c22ab4c,657.166667,5,59,726117.19,11,182,100.458936082,128.132128912
0x678df2349e6060cb9745476f727f8beadd76db12,387.333333,16,236,1097835.17,28,179,417.745498478,512.223954077
0x68dedee5b06aaf256c52cbd17918676516f96db4,199.166667,2,2,8375.33,2,181,7.008644351,11.885058987
0x2661227bccae260c30cf0fd63bfde227c6f6930a,117.5,1,9,114,9,180,3,0
0x174acfbab145dc004945c113f841b23d08b91646,91.333333,1,1,0,1,180,0,0
0x120966dd319e3c80ebcb06cc9dd2deced9e431f8,10.5,6,23,6326.4,12,179,147.125581395,232.091016612
0xe33c2f1adf336953320277a6d560f07f584ee620,291,7,15,81741.77,14,182,16.899270209,57.653772411
0xb0af63559bc37400b541a87770c753da362559ab,327.833333,5,22,140852.57,15,182,20.33678458,112.838156966
0xbb7e266705eeb56661b67d4a3d803339468a230a,951,31,6,63427.11,4186,182,476.89556391,1235.130643417
0x52da8d1bfc50bce0dcffc813a0b501d67d3ec523,248.666667,8,2,38732.54,2,182,304.980629921,714.200720671
0xd6e2a19b573ca3733acee9d92cdd85a78a16557b,1261.166667,29,1,213148.9,4,175,555.075260417,1315.781072546
0x3aac39d9875d21618ac6eebf0900aaad5c17fd2b,165,6,30,7627.79,22,173,15.503638211,48.343667685
0xf3857340b3c7a79b8041d46b100c06daf849b42f,3179.166667,1,2,0,2,182,0,0
0x5277ebe93f20dda54552f83f979a116ef62d6225,763.833333,19,218,1936500.39,13,182,152.744943209,260.870078887
0x0ab48f1c60f5083b808a4a4b146b7aaf1b18d1b9,13.666667,0,1,0,1,163,0,0
0x695eef0260a9ab973b8f183d37c2d94099892d36,404,5,32,1201515.41,14,182,124.149143418,270.549251694
0x6961b700dda6c9dd7b4b4630d023263ca61c629b,613.5,6,15,1035347.72,14,182,99.171237548,289.098267312
0xe25ce44bfb71ebd4bf8a156d0324a8a57b82da12,77.166667,4,13,4343.06,19,182,5.044204413,10.711767926
0xc618990a58638b9adbacc2dcd342b9afdc5e8864,186.666667,90,379,62021.1,3,182,12.139577217,45.463895677
0x29f754d9f62c4350f2c50dde1692070945419aa0,263.666667,6,23,37524.6,13,182,7.883319328,15.57998184
0x90d8b86c03839c34271a0b28ba8ec96b455164ae,217.666667,7,60,130102.69,14,182,29.860612807,162.103953049
0xdbc593af4e4800f4e210d2beec9ee53121955914,714,1,2823,9999.73,2,182,9999.73,0
0x3fb3a440e9032d2725fc289dc49fce40f5459dc2,274.5,2,2,9965.53,2,182,6.065447352,5.747083038
0x5ba2ca4a38c1adae63fd783ed50180e643f57487,121.333333,5,12,6232.2,16,182,9.09810219,43.440993982
0xa159379fe3c750e42522b9bd3476085674df53e8,69,4,11,18956.61,10,181,23.403222222,29.798117276
0x2323c6f7936ffd656e587920ba5f65fbfee5d49d,25.666667,1,3,10.14,3,180,0.9218181818,1.018482099
0x75eb2754edcda999783e24484be9bba525bb3985,58.666667,72,11,697424.43,11,178,107.843579712,251.652301981
0x90d371176877465685a175b763fefff8dcb60891,7252.833333,1,1,1195937.63,1,182,27.482078958,68.165712756
0xffffe19cd60a0d01d7dd7151928808ac474633f4,3144,125,13,1033751.37,6,182,331.012286263,1262.28498752
0x505e71695e9bc45943c58adec1650577bca68fd9,157871.666667,4,119698,1265363850.21,2,182,1587.71231925,34986.131986735
0x37ec299da749413caf5be620bb677401deb99356,25176.833333,34,1,18792009.04,2,182,138.101393653,305.529058759
0x6c482674beb93d001b09a1ea249d78ed92d69687,20474.166667,0,70867,0,1,182,0,0
0x91038a812cca0a8828979b2bd36d4f1bcbe7829a,2304.833333,117,5,999035.77,4,182,848.7984452,2775.824903521
0xa1ec06fc7b5e131e7c3749ed9de44693a37c26cc,779.666667,7,84,2472522.43,18,182,164.080060389,281.717359656
0xae5d7147ed7c1c312cd2762613442ee0f2c3124d,306756.666667,2,2,835762319.14,1,182,129.672355276,1546.673880662
0x531ee4a1dc7874e85b2b48638d6cfbe4fed9f37e,15569.333333,201,6,14949319.9,6,182,183.87395021,827.336209916
0xffff6749416b20bf69c1602da57d235245b6c191,5309.833333,359,8,6390776.01,3,182,79.22711507,305.980832188
0x87a8a1bc951d471b8a269ab339957a8a62ac28b1,754.666667,19,2,49173043.11,3,182,3927.245676064,8470.019060942
0x039ec965da173bd451fbc60c634b7eca6252ed61,1638,51,1,333897.15,4,182,389.611610268,944.82158964
0xd8b34b5838831f164d1535c64b0e787a19db6d37,42049.833333,0,2,0,12,145,0,0
0x58a567ab259583d43b04fab28b891d4bebc022a3,23993.666667,2,1,63829873.56,2,182,232.850365382,365.922824913
0x5890e8db09b51d13559862afb8931485afd86713,245.5,10,2,18337.04,2,182,123.06738255,322.67121259
0x8347c1532c2f52266d78c4eeb30cade988a4deed,72.666667,2,13,653.26,9,182,1.526308411,4.099313758
0x4ed5994f18a044b1fbbace9b7f3896c03d71b8c7,2887.5,1,1,578292760.34,1,182,33379.091505916,178708.23361127
0x6235dc0fbf9431a4a0a007e6ceb6d304fe4289ef,2266.833333,119,5,826308.69,4,182,693.794030227,3190.645014527
0x557cee07243d4e188535c857f20324baae270e3e,136.833333,18,43,796.22,40,182,3.619181818,6.286341129
0x57ae34206f687ecfe1a6eb4ccabc874450bf99ea,63.833333,3,23,335924.41,13,179,258.204773251,553.294337762
0x3e9e6b17fa503d8a017af82946ac650b6ceb9bc1,4992.5,510,1,129956011.17,1,182,837.804281791,5750.321541508
0x389505f098a29a994a3ed0e674f07cd451dde42c,5065.666667,1,5643,13794938.93,2,182,80203.133313953,124110.435731149
0x35d87cc640e2290878631be8381a4142d01d6462,2282.333333,116,5,1530332.31,4,182,1136.948224368,5891.301510513
0xc9fa5f824530b0db3df97820ded190f849b9bc0d,57517.5,1,4,76.53,14,172,76.53,0
0x9ac5637d295fea4f51e086c329d791cc157b1c84,9608.666667,28,15008,77172964.1,2,182,2313.130237089,44493.885381448
0x439c7f8b025bbfb9cdc73093f2b4adb3614787b7,2021.833333,1,4049,0,1,182,0,0
0xfb1c3c1ab4fb2d0cbcbb9538c8d4d357dd95963e,4959.166667,3,5,28899985.93,8,182,1348.953786875,1926.925317757
0xf819068f8a308be3edf979c99f4bf9f7aeae11dc,782.666667,19,2,50300291.78,3,182,4062.044074941,8391.820430699
0xffff310cb127890e4a6395bb5a76e90e318d0280,2985.833333,123,12,758100.19,6,182,237.648962382,847.619614829
0xcb705c5b7ba234a23fc81b6d51142ad58ee72900,7249.166667,1,1,1150598.55,1,182,26.454190233,63.779594174
0x3476f0f4cc2e816e4651c2d6583983169685199a,3725.166667,28,2,12544315.08,5,182,459.17914565,1377.162765083
0xffffbaed66cef24d7acf494f2ca192f7dad4b0e8,3005.333333,138,14,1168721.64,6,182,313.919323127,1456.60170642
0x7efa910c5185cbe78232f983f87b80eb2a9626e0,1070.833333,33,6,103640.45,4779,182,431.835208333,662.664840053
0xc5a7650c2725a7b6a39f15cb9fbffc7af357afeb,532.5,0,1,0,1,82,0,0
0x7bae14aed460cfa4610266a7c4501f89117e2bdc,10569.833333,20,22,258.95,6,94,0.01504473623,0.3371695511
0xc40d2c8b7c53260947d176e9fa306744b28bd690,1411.833333,1,1,2959.68,1,182,0.2979343668,0.02376655899
0x85aefab761fedb7e4eb35f9c2e2ef3142f66f047,950.166667,6,244,5092731.27,15,182,192.826143274,468.816307818
0x5e7ab146239e25a3f905e4c7985a46ed43c6e230,7249,1,1,1183198.49,1,182,27.205594031,72.211418001
0xe3aac971590635f601ea751096f11343c70ebadf,1382.833333,1,5758,409932.91,2,182,2886.851478873,7601.153701358
0xe5d1d761805f024169458e5e791f5bea6664d722,2281.666667,123,5,899991.48,4,182,658.369773226,3329.621711634
0x20b6ddb100d2978c028cec1618ad987b65660e69,2101.666667,91,1,1707113.59,2,182,156.961529055,355.8151807
0xea94aa77d6ad07d59af0bedf3efb8d2b265ee53c,1053.666667,27,6,96333.69,4723,182,659.819794521,1334.497338298
0xc209a564b6e6fa27312dcc92b278376ede3dfac0,462,7,7,281735.64,1,182,101.636233766,230.389443878
0xc83b78a64485e24be0af82ae2341c42dc5bd8fd8,3081.333333,13,6,11825.98,8,96,5.825605911,25.735504694
0x7c0181bb9c34fd5fd5796f9b3037894e1aa883c9,2288,113,5,722491.05,4,182,588.827261614,1589.548704432
0x55753326ccfcdae7e31cb0cb4854271caf75f0b6,390.833333,133,1,625720.91,1,182,208.088097772,1216.628387487
0x1c3b54e741abcd81346927ffbb3f08ea4838c580,1266.666667,43,1,1188082.81,4,182,1018.938945111,1567.449944362
0x8b4f37b4fcec028690235caa6d5dd5ca23e9709a,1082.166667,5,5,48.79,5,181,9.758,14.64203729
0xb5270317eb7e1e3c67fb0ba2569f1c0f967573e2,103,1,10,34,15,181,2.833333333,0.5527707984
0xdf20e275f6d50f5cacd62820c7b2fec3cd28f5d9,1512,207,4,553164.51,1,182,138.916250628,328.388619711
0x8bdc34737c07fcac8084838ef7f1d29ae218d3c2,334.166667,5,18,240157.09,15,181,36.021762412,168.625458966
0x21cd121b5da2eab4199d0e2db836ccad54816ba9,1548.833333,6,2,0,3,181,0,0
0x83cbea328ff3ee6fe95681b7aff76777166614ca,839.5,12,15,35.3,5,182,0.1265232975,0.7099511003
0xf50f33f9f95f7d8de1da99e55247528e2fc493c7,21.666667,0,1,0,1,181,0,0
0xc70c6efb6d96c9235cf1ebeb828aee1f397dd4ce,568.5,9,58,719798.83,14,182,52.899157052,90.372703124
0x24d697503ceda3e33c6cd9cdcf769702f32b5974,38.833333,4,9,713.97,9,181,44.623125,46.611451613
0x6f2b4c8d818a826db8dc5a916f405919a9dd597b,65.666667,6,24,8112.9,22,170,34.376694915,128.817219451
0x5647867d6dc90b576f8e9fd2bab7589ede93c276,27.333333,1,8,0.06,2,172,0.06,0
